DFF 1.0,Channel Map,,,,,
,,,,,,
,DIB ID:,,,,,
,,,,,,
,Device Under Test,,Tester Channel,,,
,Pin Name,Package Pin,Type,Site 0,Comment,
,VBAT,12,DPS,dps6,14-A7288 for RN2483 - Site 0 = Module 2,
,VSW_3V3,,DPS,dps7,*** Need ITL X1 Configuration for this Channel Map!***,
,GND,1,Gnd, ,,
,MCLR_nRESET,32,I/O,ch100,,
,GPIO0,35,I/O,ch109,,
,GPIO1,36,I/O,ch103,,
,GPIO2,37,I/O,ch111,,
,GPIO3,38,I/O,ch86,,
,GPIO4,39,I/O,ch112,,
,GPIO5,40,I/O,ch95,,
,GPIO6,43,I/O,ch70,,
,GPIO7,44,I/O,ch94,,
,GPIO8,45,I/O,ch72,,
,GPIO9,46,I/O,ch92,,
,GPIO10,14,I/O,ch104,,
,GPIO11,13,I/O,ch116,,
,GPIO12,10,I/O,ch65,,
,GPIO13,9,I/O,ch107,,
,UART_TX,6,I/O,ch66,,
,UART_RX,7,I/O,ch87,,
,UART_RTS,2,I/O,ch69,,
,UART_CTS,3,I/O,ch91,,
,PGC,30,I/O,ch97,,
,PGD,31,I/O,ch106,,
,SDA,5,I/O,ch90,,
,SCL,4,I/O,ch67,,
,DIO0_TP1,,I/O,ch73,,
,DIO1_TP2,,I/O,ch75,,
,DIO2_TP3,,I/O,ch76,,
,DIO3_TP4,,I/O,ch78,,
,DIO4_TP5,,I/O,ch79,,
,DIO5_TP6,,I/O,ch81,,
,NRESET_TP7,,I/O,ch85,,
,SCK_TP8,,I/O,ch83,,
,NSS_TP9,,I/O,ch82,,
,MOSI_TP10,,I/O,ch80,,
,MISO_TP11,,I/O,ch77,,
,SPI_EN_A,,I/O,ch84,,
,SPI_EN_B,,I/O,ch93,,
,RED1_ON,,N/C,ch241,Site 3,
,GRN1_ON,,N/C,ch238,Site 3,
,RED2_ON,,I/O,ch99,Site 1,
,GRN2_ON,,I/O,ch98,Site 1,
,RED3_ON,,I/O,ch44,Site 0,
,GRN3_ON,,I/O,ch48,Site 0,
,RED4_ON,,N/C,ch179,Site 2,
,GRN4_ON,,N/C,ch182,Site 2,
,LEDS_OFF,,I/O,ch52,All Sites,
,MW_DIG_TRIG,,I/O,ch3,AXRF Digitizer Trigger,
,MW_SRC_TRIG,,I/O,ch88,AXRF Source Trigger,
,RFLOUT,,N/C,,434 MHz ,
,RFHOUT,,N/C,,868 MHz,
,,,,,,
,,,,,N/C pins: 47,29,19,18,17,16,15,
