DFF 1.0,Channel Map,,,,,,,,
,,,,,,,,,
,DIB ID:,,,,,,,,
,,,,,,,,,
,Device Under Test,,Tester Channel,,,,,,
,Pin Name,Package Pin,Type,Site 0,Site 1,Site 2,Site 3,Comment,
,VBAT,12,DPS,dps6,dps2,dps0,dps4,14-A7288 for RN2483 - Site 0 = Module 2; Site 1 = Module 3; ,
,VSW_3V3,,DPS,dps7,site0,site0,site0,Site 2 = Module 4; Site 3 = Module 1,
,GND,1,Gnd, , ,,,,
,MCLR_nRESET,32,I/O,ch100,ch36,ch164,ch228,,
,GPIO0,35,I/O,ch109,ch45,ch173,ch240,,
,GPIO1,36,I/O,ch103,ch39,ch170,ch231,,
,GPIO2,37,I/O,ch111,ch49,ch175,ch243,,
,GPIO3,38,I/O,ch86,ch18,ch144,ch208,,
,GPIO4,39,I/O,ch112,ch50,ch176,ch246,,
,GPIO5,40,I/O,ch95,ch26,ch151,ch216,,
,GPIO6,43,I/O,ch70,ch27,ch158,ch222,,
,GPIO7,44,I/O,ch94,ch22,ch153,ch214,,
,GPIO8,45,I/O,ch72,ch25,ch159,ch223,,
,GPIO9,46,I/O,ch92,ch21,ch152,ch213,,
,GPIO10,14,I/O,ch104,ch40,ch168,ch232,,
,GPIO11,13,I/O,ch116,ch46,ch169,ch233,,
,GPIO12,10,I/O,ch65,ch43,ch154,ch235,,
,GPIO13,9,I/O,ch107,ch31,ch171,ch218,,
,UART_TX,6,I/O,ch66,ch30,ch155,ch219,,
,UART_RX,7,I/O,ch87,ch20,ch146,ch209,,
,UART_RTS,2,I/O,ch69,ch28,ch157,ch220,,
,UART_CTS,3,I/O,ch91,ch24,ch149,ch217,,
,PGC,30,I/O,ch97,ch33,ch161,ch225,,
,PGD,31,I/O,ch106,ch42,ch172,ch237,,
,SDA,5,I/O,ch90,ch23,ch148,ch212,,
,SCL,4,I/O,ch67,ch29,ch156,ch221,,
,DIO0_TP1,,I/O,ch73,ch17,ch143,ch205,,
,DIO1_TP2,,I/O,ch75,ch15,ch142,ch204,,
,DIO2_TP3,,I/O,ch76,ch13,ch141,ch203,,
,DIO3_TP4,,I/O,ch78,ch14,ch140,ch202,,
,DIO4_TP5,,I/O,ch79,ch12,ch139,ch201,,
,DIO5_TP6,,I/O,ch81,ch10,ch138,ch200,,
,NRESET_TP7,,I/O,ch85,ch11,ch137,ch199,,
,SCK_TP8,,I/O,ch83,ch7,ch135,ch198,,
,NSS_TP9,,I/O,ch82,ch8,ch134,ch197,,
,MOSI_TP10,,I/O,ch80,ch6,ch133,ch195,,
,MISO_TP11,,I/O,ch77,ch5,ch131,ch193,,
,SPI_EN_A,,I/O,ch84,ch16,ch145,ch215,,
,SPI_EN_B,,I/O,ch93,ch9,ch136,ch211,,
,RED1_ON,,I/O,ch241,site0,site0,site0,Site 3 Fail Signal,
,GRN1_ON,,I/O,ch238,site0,site0,site0,Site 3 Pass Signal,
,RED2_ON,,I/O,ch99,site0,site0,site0,Site 0 Fail Signal,
,GRN2_ON,,I/O,ch98,site0,site0,site0,Site 0 Pass Signal,
,RED3_ON,,I/O,ch44,site0,site0,site0,Site 1 Fail Signal,
,GRN3_ON,,I/O,ch48,site0,site0,site0,Site 1 Pass Signal,
,RED4_ON,,I/O,ch179,site0,site0,site0,Site 2 Fail Signal,
,GRN4_ON,,I/O,ch182,site0,site0,site0,Site 2 Pass Signal,
,LEDS_OFF,,I/O,ch52,site0,site0,site0,Reset All LEDs OFF,
,MW_DIG_TRIG,,I/O,ch3,site0,site0,site0,AXRF Digitizer Trigger,
,MW_SRC_TRIG,,I/O,ch88,site0,site0,site0,AXRF Source Trigger,
,RFLOUT,,N/C,,,,,434 MHz ,
,RFHOUT,,N/C,,,,,868 MHz,
,,,,,,,,,
,,,,,,,,N/C pins: 47,29,19,18,17,16,15,
